ticker,thread_id,forms_in_thread,normalized_forms_in_thread,accession_count,filing_count,extracted_text_count,ok_extraction_count,file_count,byte_count,has_company_submissions,submission_archive_count,sample_start_date,sample_end_date
A,A_0000000000-16-092800,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,184294,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-18-013671,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,172884,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-20-009552,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",8,8,8,8,26,216101,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-22-010309,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,88583,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-17-044885,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,174238,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-20-007987,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,151866,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-21-013296,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,79225,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-24-005934,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",10,10,10,10,32,298074,True,1,2016-01-01,2026-04-28
ADSK,ADSK_0000000000-17-022741,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,168052,True,0,2016-01-01,2026-04-28
ADSK,ADSK_0000000000-18-024031,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",9,9,9,9,29,445955,True,0,2016-01-01,2026-04-28
AFL,AFL_0000000000-16-074172,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,481008,True,1,2016-01-01,2026-04-28
AFL,AFL_0000000000-17-014838,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,171834,True,1,2016-01-01,2026-04-28
AFL,AFL_0000000000-23-008707,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,39336,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-16-075772,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,266795,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-16-102009,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,35784,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-22-012653,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,37946,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-24-002978,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,170402,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-24-010451,UPLOAD,STAFF_LETTER,1,1,1,1,5,30380,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-17-014470,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,647716,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-18-011843,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,457701,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-21-003670,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,178276,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-16-074877,"UPLOAD, UPLOAD, CORRESP","STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE",3,3,3,3,11,171929,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-18-008426,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,164604,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-23-002236,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,120090,True,1,2016-01-01,2026-04-28
AON,AON_0000000000-17-045347,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,249569,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-18-025493,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,128662,True,0,2016-01-01,2026-04-28
